-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1,108,108,108,108,108,108,108,108,108,108,108,108,108,108,1,108,108,108,108,108,108,108,108,108,108,108,108,108
-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,99,1,1,1,1,1,99,1,1,1,1,1,1,1,1,1,1
-1,-1,-1,1,-1,113,-1,-1,-1,-1,-1,113,107,1,0,72,0,0,61,0,0,60,0,1,105,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,107,1,0,0,0,0,0,0,0,2,0,1,105,-1,-1,113,-1,-1,-1,1
-1,-1,-1,1,-1,-1,-1,-1,113,-1,-1,-1,107,16,0,3,0,0,0,0,0,0,0,1,105,-1,-1,-1,113,-1,-1,1
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,113,107,16,0,0,0,0,0,0,0,0,0,100,105,113,-1,-1,113,-1,-1,1
-1,-1,-1,1,-1,113,-1,113,-1,-1,-1,-1,107,16,0,0,0,62,58,62,0,0,68,1,105,-1,-1,-1,-1,-1,113,1
-1,-1,-1,1,-1,-1,-1,113,113,-1,-1,-1,107,1,0,0,0,58,71,58,0,0,0,19,105,-1,-1,-1,-1,-1,113,1
